HotelName,Date of review,Rating,Title,Description,Date of stay,Trip type,Room Tip
Royal Plaza on Scotts,Mar-20,3,ok and average,Nothing fancy nor memorable. More can be improved especially the suite rooms and premiere lounge. Good thing is the check-in and check-out as the front office staff were friendly and efficient. Location is the main draw to this hotel.,Mar-20,,
Royal Plaza on Scotts,Jan-20,5,Wonderful experience,I am happy to have chosen this hotel for a staycation. Check-in and check-out was a breeze one. Breakfast buffer - wide variety.  Nothing else that i could ask for more.  I will come back for sâ€™more staycations in this hotel.,Jan-20,,
Royal Plaza on Scotts,Feb-20,3,Need more improvement,"I booked a suite for my husband's birthday, check in is just as ordinary. The room is big, clean and pleasant.  The breakfast at Carousel is average, did not meet expectation. Overall experience this time round is average.",Feb-20,,
Royal Plaza on Scotts,Feb-20,4,3 days business trip,Welcoming and staff at the top like usual. Confort and cleanless of the room. Very convenient location with all facilities in the area. Breackfast is the best I know. If something to improve: Taxi waiting at rush hours....,Jan-20,,
Royal Plaza on Scotts,Jan-20,3,Business trip in Singapore,Rooms okay. Facilities for working can be improved. Lobby very noisy. Breakfast is good. I did not try room service nor restaurant for lunch or dinner. Good location and very handy for shopping and moving with public transport,Jan-20,,
Royal Plaza on Scotts,Mar-20,4,Awesome staycay,"Stayed during the what the duck promo. Was upgraded to premiere room for free. Also had access to the premiere lounge. Great room with good pillows and air con.   Breakfast wise, was ok if there was enough service staff to fill up the food trays timely.   I love how warm the reception staff were.",Mar-20,,
Royal Plaza on Scotts,Jan-20,5,Excellent,"Excellent service, very satisfied. Will always stay in Royal Plaza if we visit Singapore. We have been loyal customer for years. Also love the free minibar. Location wise it's a short walking distance to Ion.",Dec-19,,
Royal Plaza on Scotts,Feb-20,5,Trip with my husband,Best hotel in my trip this time because i got best price and best value. Hotel is near paza and mal only walk 5mnt. The staff very friendly and also helpful.  The room is big than other similar hotel .,Jan-20,,
Royal Plaza on Scotts,Jan-20,5,NYE Carousel Buffet,"Excellent !  Went as a family of 4 (including 2 teenage girls) for their New Years Eve buffet. Had emailed before we arrived in Singapore and initially had to be put on the wait list, but the staff managed to secure us a table the day before NYE. From the minute we walked in the staff and the experience was great. Loads of lovely food of every continent / culture. Highly recommended !",Dec-19,,
Royal Plaza on Scotts,Jan-20,3,Best location!,Excellent and Friendly staff members. Location is superb and central to many big malls. Getting groceries is conveniently next door at Isetan. Duty Free Mall is at the same building and convenient to get gifts.,Dec-19,,
Royal Plaza on Scotts,Feb-20,4,Excellent hotel,"Except property, great location, on Orchard, yet just off it! The rooms are very comfortable and very spacious!! The service is absolutely top class and it is no wonder that the property has won so many independent property awards. Good value for money and very courteous staff. Thank you",Feb-20,,
Royal Plaza on Scotts,Jan-20,5,Love it,Our overall experience was good. Hotel room was nice n the staff was friendly as well. Only housekeeping was a bit slow. And our portable wifi was not in a good condition (the battery needs to be charged all the time). Other than that all was good.,Jan-20,,
Royal Plaza on Scotts,Jan-20,3,Great location but didnâ€™t feel very welcomed,"We stayed recently with our kids. Arrived at the hotel with our reservation in hand and hotel didnâ€™t have record of it. They managed to find a room and the reservation in the back end but were not apologetic despite having booked months in advance - not the kind of service expected when paying over $300 a night.   Room was fine, great aircon and location is excellent for orchard rd. Itâ€™s a clean, average hotel but stayed in other properties in Singapore where staff are a lot more welcoming and service much better.  Mention must be given to the doorman who was the only friendly staff member we spoke with.",Jan-20,,
Royal Plaza on Scotts,Mar-20,5,A fantastic stay. Thank You,"We had a club room on the 15th floor and our door was right opposite the doors to the club lounge! Hotel service was excellent, breakfast was excellent (but a little too predictable!) and the club lounge was a great place to just sit, and think, and plan the next day of activities. We will be back again. Thanks again for a great stay.",Mar-20,,
Royal Plaza on Scotts,Jan-20,4,Great location & price,"We had a nice stay here over Xmas and the kids enjoyed the pool,  with easy access to all transport links and shops. Visit the Newton open food court which is only a short walkway. Metro is also very close as are the main shops.",Dec-19,,
Royal Plaza on Scotts,Feb-20,3,Great location but fail to impress,"Booked the hotel for a staycation and this is the first time in all my years of staycation that I am so disappointed.  Quote from website ""At Royal Plaza on Scotts, we make every effort to make your hotel stay in Singapore and dining experience memorable"".... Indeed memorable and its not good kind...  Firstly location of hotel is great, upon checking into our room we are quite happy with the amenities and that it is a smoke free hotel.   We visited the Premium Lounge on 15th floor and sad to say that it is far from premium experience. As compared to another hotel in Chinatown, their club lounge has better service, and light refreshment that makes the stay more comfortable.   We also visited its pool... the journey to the pool seems like a walk into time machine and you feel likeâ€¦",Feb-20,,
Royal Plaza on Scotts,May-20,4,early christmas,"The location is close to ion orchard and other shopping centers. because i want to enjoy the christmas atmosphere in singapore, the location of this hotel is the best i think. not too expensive, clean hotel, friendly service, but when I stayed the hotel was quite crowded.",Dec-19,,
Royal Plaza on Scotts,Mar-20,5,Perfect for staycation,Stayed 2 nights for the local resident promotion. Rooms are reasonably big and location is very good. Very near to Far East Plaza and Shaw Centre. Breakfast buffet has very good spread and the lounge on 15th floor is well-maintained. Nice pineapple cookies. There is also a 24h gym that is very useful for fitness buffs. Please continue to have promotions for locals. Thank you,Mar-20,,
Royal Plaza on Scotts,Jan-20,2,Bad Experience,"Good things about this hotel: 1. Location 2. Friendly staff 3. Pocket wifi (no need to buy local simcard)  Bad things: 1. Very ordinary breakfast. No changes in menu during my stays. Food taste so-so (only like Singapore soup) 2. Ask the staff to change bed sheet, but she didn't understand. So your staff didn't change the sheet. 3. Experienced annoying sounds at night and dawn.",Jan-20,,
Royal Plaza on Scotts,Feb-20,5,"Lovely Hotel, Great Location","Stayed here at the start of the Coronavirus situation and every time we entered the hotel they took our temperatures, a proactive approach which was very good. Our room was spacious, the bed really comfortable, breakfast selection really good and tasty. Every member of staff was excellent, smiling and they could not do enough for us. There is a small iPhone sized box in each room that you set, then carry in your pocket which gives free internet access in Singapore wherever you travel. Reception staff set this up for me and I was good to go. Location is great, only a minute to the MRT and Orchard Rd with its plethora of shops and restaurants. Oh and we used the pool on 5th floor, quite enclosed but comfy sun beds and free coffee machine by it.",Jan-20,,
Royal Plaza on Scotts,Jan-20,2,Bed-type did not meet expectation as stated in the check-in voucher,The bed-type of 2 single beds (instead of a queen bed) was in fact not available nor registered in the hotel system although it was booked with this specific request online. I think Trip.com and the hotel should have communicated clearly with no ambiguity and inconsistent information in online booking system,Jan-20,,
Royal Plaza on Scotts,Mar-20,5,Great place to stay,"Great value for money in the middle of Singapore. Warm welcome, excellent food and great service. We have been here for many many times and always enjoy to come back. Especially due to corona virus situation we felt very safe and well informed. Every place equipped with hand sanitizers.",Mar-20,,
Royal Plaza on Scotts,Jan-20,4,"Our second stay - great hotel, excellent location.","Love this hotel.  Location is great being close to ION shopping centre and MRT, along with other shopping centres within walking distance.  Rooms tidy and clean and staff always helpful.  We ate at Carousel Restaurant for New Years Eve dinner - it was excellent.  Top quality seafood and other dishes, service was great and definitely value for money.  Surprising how quiet the rooms were this time. Beds very comfortable.",Dec-19,,
Royal Plaza on Scotts,Jan-20,5,Easy Singapore Stopover,A nice hotel with helpful staff. The bed was very comfortable. Awesome shower. Very convenient location. Lots of shops nearby. Only issue was our children's room was several rooms down the corridor and we would have preferred it closer.,Jan-20,,
Royal Plaza on Scotts,Jan-20,5,Excellent,"the lobby itself already caught my eye. its beautiful. the hotel is strategically located near orchard mrt station, and its near to ION mall. the room is clean, spacious, bed is extremely comfy. i had a perfect stay",Dec-19,,
Royal Plaza on Scotts,Mar-20,1,Heartless in a time of need,I was due to visit Singapore on the way to a medical conference overseas. The conference was cancelled due to the coronavirus and as a medical professional i have been asked to stay in Australia to assist with the current situation. Also the government has directed for the 1st time in history 'Do Not Travel' -despite this this hotel would not allow me to reschedule to the new conference date in September. Instead they took my money and said there was no reason I could still not come. All of my other bookings I have had to cancel for this trip and 2 others planned have allowed free cancellation or at least a free rebook. Not this hotel,Mar-20,,
Royal Plaza on Scotts,Jan-20,3,Singapore stay - Premium room- Not so good,We stayed at the premium room for 5 nights. The first 2 nights were staying on the 11th floor. Check-in was quick. Disappointed with the room due to loud noise and smoke fume from next door room (smoke came in through the connecting door) despite of non-smoking floor. The next day we moved and were located to more quieter room.  We had access to the Royal Club Lounge on the 15th floor for some refreshments and snacks which was great. Room was quite large with basic amenities provided and staff were helpful. Location is near Orchard Road with ION and Isetan are a few steps away.,Dec-19,,
Royal Plaza on Scotts,Mar-20,5,Great Stay!,We had a great stay at Royal Plaza. Location was great. Staff were friendly. Room was very clean. Breakfast was very good but too bad the dinner is fully booked and we couldnt experience dinner at Carousel.,Mar-20,,
Royal Plaza on Scotts,Mar-20,4,Staycation with Young children,"Perfect location and nearby eateries and shopping mall. Staff are polite and friendly. Starbucks are just outside the main lobby which is great for coffee lover. However, it would be more ideal if there is a children pool or playground.",Feb-20,,
Royal Plaza on Scotts,Jan-20,5,Exceptional service,"What makes Royal Plaza stand out is the exceptional service rendered by all staff. Every department exudes a positive energy towards pleasing their guests and this makes all the difference. In addition the hotel is very conveniently located on Orchard Road, making conveyance very easy. The newly refurbished room was spacious and clean. I stayed in room 825, which met my expectations. Royal Plaza will continue to be my choice of preference when in Singapore.",Dec-19,,
Royal Plaza on Scotts,Apr-20,5,ideal location. friendly staff,"ideal location very near subway station orchard. club room good with the gentlemen in the club lounge very friendly and accomodating. staff on reception exceptional, going beyond to contact the airline regarding lost kindle. food in restaurant plantiful and varied if very busy.",Jan-20,,
Royal Plaza on Scotts,Mar-20,2,Poor crowd control,"We booked two rooms and were extremely alarmed to arrive at the hotel and be faced with such a crowd at a time where social distancing is highly recommend. Even in house guests were not able to dine at the in house buffet restaurant due to an excessively generous promotion for all patrons. We ended up cancelling the stay since the in house restaurant, gym, pool are all unavailable.   We are impressed by the front desk teamâ€™s patience in the face of such a crowd. I believe the reservations and marketing team failed to limit the rooms for their promotion and were instead chasing numbers.   Sadly this has brought down the brand image of an otherwise reputable hotel along Orchard road.",Mar-20,,
Royal Plaza on Scotts,Jan-20,5,My must go to hotel when in Singapore!,"Be it for leisure or for work, I can't stray away from RP on Scotts! Location, service, room quality and comfort have always been consistently maintained.   Ability to stow our bags during the need for early checkouts w late flights have always been accomodating to different type of travelers.   Halal buffet breakfast and dinners make it easy for Muslim travelers to have meals with the hotel be it at their restaurants or as room service orders.   It is pricey considering all of the factors, but worth every penny :)",Nov-19,,
Royal Plaza on Scotts,Feb-20,4,Stayed two nights...wished we'd planned for more,"We stayed at this property for two nights before our Asian cruise to get over our long flight and to experience Singapore. Super glad we did and wished we had planned for more days. A great hotel. Super friendly and helpful staff. Our luggage did not arrive with us on our flight (missed the connecting flight). The concierge staff were very proactive and helpful in following up with the delivery company for us. Very spacious, quiet room and wonderful buffet breakfast.",Jan-20,,
Royal Plaza on Scotts,Feb-20,3,Not For Tourists!,Don't be fooled by the stunning entrance - the room although spacious and spotlessly clean lacked facilities.  There was only hanging space for clothes and no drawer space so we basically lived out of our suitcase.  Minimal tea and coffee in the room but only Coffeemate so had to go out and buy milk for tea.   There was no Tourist information available for places to go and we had to ask for a map.  The only Bar was a very small area on the 1st floor open from 6pm till 10pm so nowhere to sit and relax. I had asked on booking for a room on a low floor as I do not care for Lifts and preferred to use the stairs.  On arrival I was taken through the kitchens to a back staircase to get to the 4th floor!  I did find a better route by myself but having asked the question about stairsâ€¦,Jan-20,,
Royal Plaza on Scotts,Nov-20,5,Beautifully managed lovely hotel in the city,"Lovely property managed very well, teally great staff and beautifully furnished comfy rooms woth a great Mini bar service. Awsome restaraunt and breakfast, one should never miss whilst in Singapore. Since its close to Orchard road and Far east plaza, even shopping from here is not a problem. For sure a 5 star ++ property in my book. Well done team from door to Gm makes you feel at home and welcome.",Dec-19,,
Royal Plaza on Scotts,Feb-20,5,Will Come Back Again,"The room rate was really attractive with free upgrade to Premier Room . There is light snack (eg. nuts, biscuits and chips) in the Premier Lounge all day long. and guest could select from a range of hot and cold beverages. However, unlike the Premier Lounges in other hotels, this one does not serve evening cocktail. Overall, its a great staycation where service staff is friendly and location is fantastic.",Feb-20,,
Royal Plaza on Scotts,Jun-20,2,Not up to the standards of other 4 or 5 Star Hotels in Singapore,"Our stay at the Royal Plaza on Scotts was in February 2020. The first impression of the Hotel was good. Very good in fact. But the first evening, when we visited the Hotel's ""Premier Lounge"" we were really dissapointed. The Lounge was completely empty, and for a reason! There were only coffee and tea and some cookies and nuts. That's all! If you wanted anything to eat or drink, you had to buy it from the menu. Having paid a higher rate to get a larger room, have breaksfast included AND the access to the Hotel's Lounge, we really feel that this service was not up to the standards of any 4 or 5 Star Hotels in Singapore (or any other country). Breakfast buffet was served in the Restaurant at the lobby. It was good but repetitive - everyday the selection of plates was the same - andâ€¦",Feb-20,,
Royal Plaza on Scotts,Feb-20,5,Always at the Top Notch,"Location friendly, clean rooms and hotel corridors, breakfast variety that changes everyday in some section (not all but some), fast elevators, high speed wifi, and the best thing is that they provide portable wifi with good connection.   A little hassle to connect I need to ask assistance from the front desk though because you need to download an app.   Despite of all the goodness about the hotel and the comfortable stay, it lost its hositality touch from the staff. Me and my family barely got any greetings from them.",Jan-20,,
Royal Plaza on Scotts,Jan-20,2,Not as good as before,"I used to stay at this hotel quite often. One of the reasons was that there were several choices of free drinks provided in the roomâ€™s fridge (soft drinks, juices, and even Bir Bintang). I noticed that the owner of this hotel has changed, because some of the services that were previously provided are now reduced or even no longer provided, such as the free drinks, now only provided 2 small cups of juice; and 2 bottles of water on the first day, instead of 4 bottles on other days. When I arrived at the hotel and it was already 4 p.m., the room was not ready until 5 p.m., while the check in time should be at 2. The amenities were also lacking. Only 1 small bottle of shampoo (and also other toiletries) was provided on the first day, which was not enough to use for 2 persons. Theâ€¦",Jan-20,,
Royal Plaza on Scotts,Jan-20,5,Royal Plaza on Scotts Road - December 2019 stay,"An excellent stay at a venue we consider our home from home in Singapore. We were very well received and shown to our room despite arriving very early in the morning (rooms are usually only available after 2 pm on day of arrival). Staff were polite and helpful. Rooms well appointed. Breakfast selection on the premium floors is limited, so we opted to have breakfast in the main dining hall on the ground floor. Because of the festive season the hotel was at capacity which created some congestion in the dining area. Food choice was excellent. Food quality was excellent. We will recommend Royal Plaza on Scotts Road without doubt to any traveller. We will also like to be kept informed of any special deals (including flights if possible).",Dec-19,,
Royal Plaza on Scotts,Aug-20,3,Expect the equivalent of a US Sheraton with a lot of people and it will be fine,"I wasn't crazy about this place. It reminds me of the Sheratons in the US, which is okay but it's not a five start hotel by US standards. First, they were late for house cleaning one day and didn't come until 3 p.m. because they were busy. Also, my view was of an apartment building where I saw laundry hanging - I had no privacy so had to keep my curtains closed. They're close to the MRT but it's still 1/3 of a mil to get to the actual entrance to the MRT. And it's super hot there so that's kind of a bigger deal than you might think. If you want to cross the street, it's a big deal - you'll need to go underground and figure out how to get across in the maze. It's okay if you have a lot of time. They did not offer a room service menu. It's easy to hear the doors closing on otherâ€¦",Jan-20,,
Royal Plaza on Scotts,Mar-20,5,Love my stay,"The room was clean, tidy, and spacious. Bed was very comfortable. It was very welcoming when we entered the room as the tv was automatically on with background soothing music.   The location was great as it is at the town area: more shopping & easy access to food!",Mar-20,,
Royal Plaza on Scotts,Apr-20,2,Good room but disappointing in every other aspect,"Stayed with a group of friends using the What The Duck promotion. Was pleasantly surprised at how nice the renovated premier rooms are and with a bathtub.   Unfortunately, the good things about this hotel ends here. Room service was terrible. The lady on the phone was extremely rude when I asked for extra towels. She challenged me as to why I needed extra towels and only relented to give me 1 after much back and forth. The â€œpremier loungeâ€ is a complete joke with only some biscuits and juices. The crowd was so big that we had difficulty finding a time to sit. No canapÃ©s, breakfast, alcoholic beverages to speak of. Breakfast was very crowded and we had to wait more than 20 minutes to get in. Spread was highly uninspiring. Gym and pool were also unacceptably small and outdated. â€¦",Mar-20,,
Grand Copthorne Waterfront,Sep-20,5,Quarantine,Hotel with nice bed and good looking view This is my first time to stay at grand copthorne hotel Singapore I feel the warm welcome by the staff and bring me to my room. and the hotel staff are good and friendly. the most of all this hotel is very nice. Im hoping I can be stay here again and thank you GRAND COPTHORNE HOTEL SINGAPORE.,Sep-20,,
Grand Copthorne Waterfront,Sep-20,5,Outstanding view and Friendly service at Alfresco dining Good food offers and deals.,On Tuesday Night me and my boyfriend went to Grand Copthorne Waterfront to have a dinner at alfresco dining good thing that we met the Manager on Duty Mr. Shabarry Lopez try to recommend the meat platter and a red wine to go along I never regret the portion is big enough for us price and quality of the meat is great we also order cheese platter and its superb I suggest to add more prosciutto ham and crackers but everything was great good experience and a good service by the staff. I will come again with my bunch of friends next time.,Sep-20,,
Grand Copthorne Waterfront,Sep-20,5,I love my stay herevery helful staffs and good bed,this is my first time to stay in this hoteland the care i get is fantastic.i am leaving today and happy to stay here again next time.thank u every one for take care of us.i hope i can come back here and see all the staffs..thank u once again..i thank ecspesselly for sg goverment for take care us in an good kindness...,Sep-20,,
